Date	Price	Open	High	Low	Vol.	Change %
Apr 19, 2024	413.50	422.50	425.00	407.00	4.74M	-3.16%
Apr 18, 2024	427.00	425.50	430.00	423.50	3.15M	-0.35%
Apr 17, 2024	428.50	429.50	431.50	425.50	2.93M	+0.71%
Apr 16, 2024	425.50	436.00	437.00	425.00	4.14M	-3.41%
Apr 15, 2024	440.50	440.00	446.00	438.50	2.36M	-0.68%
Apr 12, 2024	443.50	448.00	448.50	442.50	4.65M	-2.21%
Apr 11, 2024	453.50	438.00	455.00	429.50	6.29M	+4.25%
Apr 10, 2024	435.00	433.00	446.50	433.00	4.97M	+2.35%
Apr 09, 2024	425.00	423.50	426.50	422.50	2.14M	-0.23%
Apr 08, 2024	426.00	420.50	427.00	420.00	1.79M	+0.83%
Apr 03, 2024	422.50	420.50	425.50	419.50	2.54M	-0.12%
Apr 02, 2024	423.00	423.50	427.00	421.50	2.36M	0.00%
Apr 01, 2024	423.00	431.50	432.00	423.00	2.09M	-1.51%
Mar 29, 2024	429.50	423.50	429.50	423.00	2.37M	+1.42%
Mar 28, 2024	423.50	423.00	430.00	418.50	3.47M	-0.24%
Mar 27, 2024	424.50	418.00	427.50	416.50	2.63M	+1.80%
Mar 26, 2024	417.00	421.00	426.00	416.50	3.45M	-1.53%
Mar 25, 2024	423.50	421.50	426.50	419.50	2.25M	+0.47%
Mar 22, 2024	421.50	424.00	436.50	420.50	5.54M	+0.36%
Mar 21, 2024	420.00	414.50	422.00	411.50	4.53M	+1.45%
Mar 20, 2024	414.00	409.00	419.50	409.00	4.45M	+1.60%
Mar 19, 2024	407.50	406.50	415.00	405.00	6.51M	-0.24%
Mar 18, 2024	408.50	429.00	433.50	401.00	11.79M	-4.78%
Mar 15, 2024	429.00	428.00	434.50	428.00	7.12M	-1.04%
Mar 14, 2024	433.50	435.00	436.50	428.00	3.63M	-0.57%
Mar 13, 2024	436.00	441.00	444.50	436.00	4.30M	-1.13%
Mar 12, 2024	441.00	442.50	446.00	437.00	3.38M	-0.68%
Mar 11, 2024	444.00	453.00	457.00	439.50	4.20M	-1.88%
Mar 08, 2024	452.50	461.50	461.50	451.00	2.94M	-2.06%
Mar 07, 2024	462.00	470.00	471.00	461.00	2.19M	-1.91%
